food_code,food_name,calorie,carb,protein,fat
D114-617000000-0001,달래무침,63,6.07,2.92,3.02
D114-619000000-0001,도라지생채,77,16.15,2.06,0.51
D114-622340000-0001,두릅무침_초고추장,67,7.89,2.16,3.01
D114-624000000-0001,마늘쫑무침,106,12.77,2.73,4.93
D114-626000000-0001,무말랭이무침,121,22.5,4.2,1.55
D114-627000000-0001,무생채,49,7.33,2.43,1.11
D114-627050000-0001,무생채_굴,50,5.92,3.68,1.26
D114-629100000-0001,묵무침_도토리묵,74,10.92,0.93,2.95
D114-630280000-0001,물회_오징어,49,3.26,6.19,1.2
D114-631000000-0001,미나리무침,46,5.41,1.31,2.13
D114-632000000-0001,미역초무침,35,5.24,1.18,1.02
D114-633000000-0001,민들레잎무침,81,12.32,2.69,2.33
D114-636060000-0001,버섯무침_느타리버섯,59,3.44,2.74,3.77
D114-637000000-0001,부추무침,92,6.25,3.5,5.92
D114-637240000-0001,부추무침_양파,44,6.81,1.83,1.07
D114-638000000-0001,북어채무침,188,12.05,28.4,2.91
D114-640020000-0001,샐러드_감자,126,12.25,1.31,7.99
D114-640070000-0001,샐러드_단호박,162,18.77,1.48,8.97
D114-640080000-0001,샐러드_닭가슴살,135,5.36,7.17,9.49
D114-640170000-0001,샐러드_새싹,74,4.96,2.77,4.81
D114-640220000-0001,샐러드_양배추,150,8.47,2.69,11.71
D114-640230000-0001,샐러드_양상추,126,3.42,4.91,10.3
D114-640300000-0001,샐러드_옥수수,166,12.68,1.96,11.94
